Location,Time,Lighting,Traffic_Density,Crime_Rate,Police_Presence,Public_Transport_Availability,CCTV_Presence,Population_Density,Safe_Road
Main Road,20:00,Well-lit,0.21,0.34,0,0,1,0.15,1
Main Road,03:54,Well-lit,0.1,0.46,1,0,1,0.21,1
Residential Area,23:02,Moderately-lit,0.25,0.14,0,0,0,0.51,0
Public Transport Hub,01:59,Well-lit,0.31,0.54,1,1,0,0.79,1
Public Transport Hub,05:29,Moderately-lit,0.58,0.54,0,1,1,0.78,1
University Campus,00:21,Poorly-lit,0.2,0.36,1,0,1,0.4,0
Commercial District,23:14,Moderately-lit,0.06,0.49,1,1,1,0.71,1
Market Area,00:43,Well-lit,0.15,0.55,0,0,1,0.73,1
Public Transport Hub,02:20,No lighting,0.3,0.62,1,1,1,0.77,1
Main Road,22:42,Poorly-lit,0.03,0.5,0,1,1,0.18,0
Public Transport Hub,02:59,Poorly-lit,0.37,0.53,0,1,0,0.82,0
Industrial Zone,23:46,Well-lit,0.53,0.8,0,0,0,0.21,0
Public Transport Hub,04:54,Well-lit,0.34,0.38,1,1,1,0.73,1
Commercial District,01:47,Poorly-lit,0.25,0.57,1,1,0,0.8,0
Alleyway,00:43,Moderately-lit,0.24,0.79,0,0,0,0.17,0
Residential Area,21:23,Poorly-lit,0.12,0.09,1,0,0,0.47,0
Public Transport Hub,18:17,Moderately-lit,0.22,0.5,0,1,1,0.79,1
Residential Area,04:57,Well-lit,0.37,0.08,1,0,1,0.58,1
Commercial District,20:50,No lighting,0.04,0.49,0,1,1,0.82,0
Suburban Street,00:02,Moderately-lit,0.45,0.3,1,0,1,0.53,1
Commercial District,04:27,Moderately-lit,0.17,0.36,0,1,1,0.82,1
Residential Area,03:48,Poorly-lit,0.09,0.25,1,1,1,0.54,1
Alleyway,04:58,Moderately-lit,0.23,0.95,0,1,1,0.27,0
Public Transport Hub,23:39,Poorly-lit,0.04,0.61,0,0,1,0.79,0
Public Transport Hub,03:32,Well-lit,0.32,0.59,0,1,1,0.85,1
Park,21:58,Well-lit,0.41,0.49,1,0,1,0.17,1
Residential Area,02:17,Poorly-lit,0.02,0.31,1,0,0,0.46,0
Industrial Zone,03:35,No lighting,0.03,0.64,1,0,1,0.25,0
University Campus,18:33,Poorly-lit,0.07,0.28,1,0,0,0.55,0
Alleyway,18:11,Well-lit,0.6,0.91,0,1,0,0.23,0
Commercial District,04:43,No lighting,0.24,0.39,1,1,1,0.74,1
Alleyway,18:00,Well-lit,0.16,0.78,0,0,0,0.25,0
Suburban Street,01:41,Well-lit,0.32,0.31,0,0,0,0.57,1
Commercial District,22:04,Well-lit,0.75,0.39,0,1,1,0.86,0
Public Transport Hub,21:07,Poorly-lit,0.39,0.62,0,1,1,0.87,0
Commercial District,04:16,No lighting,0.61,0.57,0,1,1,0.76,0
Alleyway,22:19,Moderately-lit,0.27,0.88,1,1,0,0.12,0
Suburban Street,21:46,Moderately-lit,0.15,0.33,1,0,0,0.56,0
Commercial District,03:42,Well-lit,0.19,0.5,0,1,0,0.85,1
Residential Area,02:30,Well-lit,0.46,0.06,1,0,1,0.49,1
University Campus,01:01,Moderately-lit,0.21,0.41,0,0,1,0.53,0
Market Area,19:31,No lighting,0.18,0.34,1,0,0,0.78,0
Residential Area,03:28,Well-lit,0.16,0.11,0,0,0,0.46,1
Alleyway,04:07,Well-lit,0.05,0.78,0,0,0,0.13,0
Industrial Zone,04:13,Moderately-lit,0.33,0.74,0,0,0,0.18,0
Residential Area,01:19,Moderately-lit,0.52,0.34,0,0,0,0.54,0
Industrial Zone,22:53,No lighting,0.53,0.83,0,0,1,0.22,0
Commercial District,00:41,No lighting,0.07,0.59,0,1,0,0.82,0
Main Road,23:45,No lighting,0.23,0.43,1,1,1,0.14,0
Park,21:57,Poorly-lit,0.18,0.56,1,1,0,0.17,0
Residential Area,22:15,Poorly-lit,0.11,0.28,0,1,0,0.55,0
Public Transport Hub,22:35,Moderately-lit,0.14,0.37,1,1,1,0.88,1
Public Transport Hub,04:38,Well-lit,0.42,0.49,1,1,1,0.76,1
Industrial Zone,22:06,Poorly-lit,0.3,0.83,0,0,0,0.13,0
Public Transport Hub,00:19,Moderately-lit,0.39,0.54,1,1,0,0.71,1
Residential Area,22:24,Poorly-lit,0.06,0.18,1,0,1,0.43,0
University Campus,19:23,Poorly-lit,0.31,0.29,1,0,0,0.52,0
Industrial Zone,02:18,No lighting,0.16,0.65,0,0,0,0.21,0
Park,05:54,Poorly-lit,0.06,0.63,0,1,1,0.17,0
University Campus,19:39,Well-lit,0.64,0.2,0,1,0,0.45,1
Public Transport Hub,21:14,Moderately-lit,0.16,0.43,1,1,0,0.74,1
Main Road,00:41,Moderately-lit,0.42,0.34,1,1,1,0.23,1
Market Area,05:17,Well-lit,0.66,0.26,1,0,1,0.72,1
Industrial Zone,19:21,Moderately-lit,0.47,0.8,0,0,0,0.18,0
Main Road,03:55,Well-lit,0.37,0.47,1,1,1,0.11,1
Main Road,00:50,Well-lit,0.11,0.35,1,1,0,0.19,1
Park,01:56,Moderately-lit,0.26,0.53,1,0,0,0.12,0
Park,22:23,Poorly-lit,0.15,0.68,1,1,0,0.11,0
Residential Area,03:51,Well-lit,0.11,0.11,1,1,0,0.49,1
Alleyway,22:02,No lighting,0.15,0.95,0,1,1,0.17,0
University Campus,03:08,Moderately-lit,0.08,0.42,1,0,0,0.52,0
Park,20:02,Moderately-lit,0.4,0.51,0,0,1,0.16,0
Commercial District,03:35,No lighting,0.22,0.45,1,1,1,0.8,1
Park,04:34,No lighting,0.12,0.58,0,1,0,0.2,0
Market Area,21:59,No lighting,0.05,0.27,1,0,1,0.81,1
Park,03:13,Poorly-lit,0.06,0.56,0,0,0,0.16,0
Commercial District,04:18,Well-lit,0.09,0.47,0,1,1,0.83,0
Market Area,00:59,Well-lit,0.04,0.5,0,0,0,0.77,1
University Campus,19:53,No lighting,0.06,0.25,1,1,0,0.47,0
Alleyway,22:49,Moderately-lit,0.21,0.69,1,0,1,0.25,0
Main Road,20:57,Moderately-lit,0.19,0.36,0,1,1,0.24,0
Industrial Zone,18:25,Moderately-lit,0.08,0.81,0,0,1,0.2,0
Public Transport Hub,01:14,No lighting,0.22,0.39,1,1,1,0.89,1
Suburban Street,21:23,Well-lit,0.25,0.36,1,1,0,0.48,1
Alleyway,19:38,Moderately-lit,0.55,0.81,0,0,1,0.21,0
Suburban Street,19:00,Poorly-lit,0.0,0.3,1,0,0,0.57,0
Main Road,03:48,Poorly-lit,0.23,0.46,0,1,1,0.17,0
Public Transport Hub,03:24,No lighting,0.29,0.41,1,1,0,0.78,0
Commercial District,22:47,No lighting,0.13,0.43,1,1,1,0.79,1
Park,22:12,Well-lit,0.52,0.7,0,0,0,0.22,0
Suburban Street,04:29,No lighting,0.06,0.24,0,0,0,0.46,0
Market Area,23:06,No lighting,0.18,0.27,0,0,0,0.78,0
Residential Area,19:45,No lighting,0.2,0.18,1,0,0,0.58,0
University Campus,01:04,Poorly-lit,0.1,0.15,1,0,1,0.5,0
Market Area,21:39,Poorly-lit,0.22,0.42,0,0,1,0.76,0
Alleyway,23:26,Poorly-lit,0.19,0.72,0,0,0,0.24,0
Commercial District,20:17,Moderately-lit,0.04,0.64,0,1,1,0.78,0
Residential Area,02:19,Poorly-lit,0.49,0.33,1,0,0,0.55,0
Public Transport Hub,02:05,No lighting,0.08,0.49,0,1,1,0.73,0
Industrial Zone,04:50,Poorly-lit,0.23,0.64,0,1,0,0.12,0
Park,03:33,No lighting,0.17,0.58,0,0,0,0.2,0
Suburban Street,00:57,Well-lit,0.09,0.35,1,0,0,0.41,1
Suburban Street,00:38,Moderately-lit,0.21,0.19,1,0,1,0.44,1
Market Area,02:26,Well-lit,0.15,0.54,0,0,1,0.83,1
Residential Area,23:58,Well-lit,0.18,0.35,1,1,0,0.58,1
Industrial Zone,04:22,Moderately-lit,0.4,0.64,0,1,1,0.22,0
Commercial District,21:01,Well-lit,0.22,0.64,1,1,1,0.8,1
Industrial Zone,22:57,Poorly-lit,0.35,0.74,0,0,0,0.28,0
Industrial Zone,05:41,Poorly-lit,0.29,0.79,0,0,0,0.22,0
Main Road,22:48,Poorly-lit,0.01,0.4,1,0,1,0.22,0
Alleyway,18:06,Poorly-lit,0.02,0.92,0,0,0,0.26,0
Park,02:12,Poorly-lit,0.14,0.49,0,0,1,0.16,0
Commercial District,20:38,Poorly-lit,0.25,0.43,0,0,1,0.85,0
Park,22:32,Poorly-lit,0.25,0.48,1,0,0,0.16,0
Commercial District,02:48,No lighting,0.12,0.63,0,1,1,0.84,0
Main Road,03:08,Moderately-lit,0.42,0.32,1,1,1,0.17,1
Main Road,00:52,Moderately-lit,0.11,0.31,1,1,1,0.12,1
Park,00:17,No lighting,0.1,0.73,0,0,1,0.14,0
Commercial District,18:40,Well-lit,0.04,0.4,1,1,0,0.75,1
Main Road,04:18,Poorly-lit,0.71,0.47,1,1,1,0.2,0
Public Transport Hub,22:00,Poorly-lit,0.21,0.45,0,1,0,0.7,0
Residential Area,20:51,Poorly-lit,0.32,0.18,1,0,0,0.48,0
University Campus,01:36,No lighting,0.37,0.2,1,0,1,0.43,0
Residential Area,23:19,Moderately-lit,0.06,0.06,1,0,0,0.57,1
Public Transport Hub,03:31,No lighting,0.01,0.48,1,0,1,0.8,0
Residential Area,00:01,Moderately-lit,0.14,0.31,1,0,0,0.59,0
Residential Area,18:22,Poorly-lit,0.29,0.1,1,0,0,0.58,0
Park,04:19,Moderately-lit,0.05,0.71,1,0,0,0.21,0
Main Road,20:46,Well-lit,0.18,0.54,0,1,1,0.12,1
Public Transport Hub,04:12,No lighting,0.11,0.53,1,0,0,0.82,0
Market Area,04:29,No lighting,0.21,0.52,1,0,1,0.79,0
Park,23:58,Poorly-lit,0.45,0.52,1,0,1,0.25,0
Suburban Street,22:55,Poorly-lit,0.25,0.28,1,0,0,0.56,0
Public Transport Hub,00:05,No lighting,0.2,0.57,1,1,0,0.72,0
Public Transport Hub,02:55,Poorly-lit,0.15,0.52,0,1,1,0.81,0
Suburban Street,20:09,Poorly-lit,0.13,0.26,1,0,0,0.48,0
University Campus,21:03,Well-lit,0.22,0.34,1,0,0,0.5,1
Public Transport Hub,20:55,Moderately-lit,0.17,0.63,0,1,1,0.85,1
Industrial Zone,22:49,Well-lit,0.08,0.79,0,0,0,0.23,1
Alleyway,22:38,Moderately-lit,0.22,0.78,0,0,0,0.19,0
Suburban Street,00:28,Moderately-lit,0.0,0.36,1,0,0,0.55,0
Park,03:11,Well-lit,0.23,0.69,0,0,1,0.22,0
Alleyway,04:16,No lighting,0.16,0.84,0,0,0,0.24,0
Suburban Street,18:45,Poorly-lit,0.2,0.34,0,0,0,0.42,0
Suburban Street,18:59,Well-lit,0.03,0.17,1,0,0,0.47,1
Industrial Zone,18:07,Moderately-lit,0.52,0.64,1,0,0,0.17,0
Suburban Street,04:34,Well-lit,0.31,0.2,1,1,1,0.45,1
Public Transport Hub,23:09,Well-lit,0.23,0.36,0,1,1,0.84,1
Park,00:14,No lighting,0.08,0.51,0,0,1,0.18,0
Main Road,23:11,No lighting,0.46,0.28,1,1,0,0.29,0
Suburban Street,05:34,No lighting,0.66,0.33,1,0,0,0.55,0
Market Area,00:50,No lighting,0.13,0.44,1,0,0,0.87,0
Main Road,18:49,No lighting,0.4,0.36,1,1,1,0.24,1
Market Area,19:15,Moderately-lit,0.11,0.4,0,0,1,0.75,0
Residential Area,19:47,Moderately-lit,0.43,0.12,1,0,1,0.43,1
Residential Area,02:27,Poorly-lit,0.19,0.05,1,0,0,0.52,0
Commercial District,03:28,Moderately-lit,0.0,0.6,0,1,1,0.75,0
Main Road,03:49,Poorly-lit,0.3,0.45,1,1,1,0.27,1
Suburban Street,01:33,Poorly-lit,0.41,0.28,0,0,0,0.47,0
Market Area,03:48,No lighting,0.58,0.32,1,0,1,0.85,1
Industrial Zone,20:10,No lighting,0.05,0.85,0,0,1,0.29,0
Park,03:46,No lighting,0.03,0.51,0,0,0,0.26,0
Public Transport Hub,22:31,Moderately-lit,0.1,0.65,0,1,1,0.73,0
Alleyway,00:58,No lighting,0.74,0.69,1,0,0,0.18,0
University Campus,22:57,Poorly-lit,0.14,0.23,1,0,0,0.43,0
Main Road,21:13,Moderately-lit,0.36,0.36,1,1,1,0.29,1
Residential Area,00:14,Well-lit,0.69,0.21,1,1,1,0.6,1
Market Area,18:36,Moderately-lit,0.15,0.5,0,0,1,0.78,0
Commercial District,20:23,Moderately-lit,0.32,0.64,1,1,1,0.85,1
Suburban Street,00:03,Well-lit,0.7,0.34,1,0,0,0.41,1
Market Area,01:29,No lighting,0.26,0.3,1,0,0,0.84,0
Residential Area,05:23,Well-lit,0.28,0.13,1,0,0,0.59,1
Suburban Street,04:01,Well-lit,0.47,0.36,0,1,1,0.51,1
Alleyway,03:25,No lighting,0.06,0.77,0,0,0,0.28,0
Alleyway,22:07,Well-lit,0.43,0.79,0,1,1,0.15,1
Residential Area,22:29,No lighting,0.25,0.2,1,0,0,0.46,0
Commercial District,03:30,No lighting,0.1,0.56,0,1,1,0.88,0
Alleyway,01:54,Poorly-lit,0.25,0.95,0,1,1,0.26,0
Commercial District,18:35,Well-lit,0.07,0.58,0,1,1,0.8,1
Market Area,18:57,No lighting,0.4,0.28,1,0,0,0.75,0
Public Transport Hub,18:51,Moderately-lit,0.12,0.6,0,0,1,0.8,0
Public Transport Hub,05:27,Moderately-lit,0.34,0.46,1,1,1,0.71,1
Residential Area,22:04,Poorly-lit,0.6,0.08,0,0,1,0.47,0
Main Road,05:14,Moderately-lit,0.01,0.49,0,1,0,0.18,0
Market Area,19:29,Moderately-lit,0.06,0.47,1,1,0,0.73,1
Market Area,04:39,No lighting,0.7,0.27,1,0,0,0.75,0
Industrial Zone,23:19,Poorly-lit,0.46,0.55,0,0,0,0.2,0
Suburban Street,04:34,Well-lit,0.11,0.42,1,0,0,0.56,1
Residential Area,21:32,No lighting,0.17,0.23,1,1,0,0.59,0
Suburban Street,04:33,Moderately-lit,0.24,0.27,0,0,1,0.46,0
University Campus,20:26,Well-lit,0.12,0.23,1,0,1,0.58,1
Main Road,01:32,No lighting,0.16,0.29,1,0,0,0.14,0
Commercial District,03:11,Poorly-lit,0.42,0.36,1,1,1,0.72,1
Park,02:06,Poorly-lit,0.54,0.73,0,0,1,0.22,1
Residential Area,00:54,No lighting,0.04,0.26,1,0,0,0.43,0
Market Area,23:59,Well-lit,0.12,0.45,1,0,1,0.72,1
Residential Area,05:09,Poorly-lit,0.07,0.31,0,1,0,0.52,0
Residential Area,19:46,No lighting,0.01,0.05,1,0,0,0.58,0
Alleyway,19:14,Poorly-lit,0.09,0.71,1,0,0,0.17,0
Commercial District,22:48,Well-lit,0.06,0.4,1,1,1,0.84,1
Public Transport Hub,04:59,Moderately-lit,0.03,0.43,0,0,1,0.8,0
Park,22:26,Moderately-lit,0.19,0.62,1,0,0,0.26,0
Public Transport Hub,03:23,Well-lit,0.44,0.57,0,1,1,0.88,1
University Campus,18:27,Poorly-lit,0.35,0.33,0,1,1,0.59,0
Park,20:35,No lighting,0.5,0.58,1,0,1,0.16,0
Residential Area,21:01,No lighting,0.24,0.14,1,1,0,0.41,0
Park,01:16,Poorly-lit,0.02,0.52,1,0,0,0.18,0
Park,01:50,Well-lit,0.31,0.67,0,0,1,0.11,0
Commercial District,03:14,Moderately-lit,0.2,0.56,0,1,1,0.82,1
Commercial District,01:55,No lighting,0.47,0.55,0,0,1,0.83,0
Industrial Zone,01:25,Moderately-lit,0.3,0.61,0,1,0,0.21,0
Residential Area,19:29,Poorly-lit,0.35,0.1,1,1,1,0.53,1
Market Area,04:31,No lighting,0.15,0.32,1,1,1,0.77,1
Residential Area,00:31,Well-lit,0.49,0.16,1,0,0,0.56,0
Public Transport Hub,01:47,Well-lit,0.57,0.58,0,1,0,0.87,1
University Campus,22:09,No lighting,0.24,0.3,1,1,0,0.6,0
Alleyway,00:40,Moderately-lit,0.18,0.94,0,0,1,0.11,0
Park,00:13,Well-lit,0.25,0.68,1,1,0,0.28,1
Public Transport Hub,19:12,Poorly-lit,0.0,0.53,0,0,1,0.84,0
Public Transport Hub,22:27,No lighting,0.63,0.48,0,1,1,0.72,0
Public Transport Hub,21:47,No lighting,0.29,0.6,0,1,1,0.8,0
Alleyway,23:53,Moderately-lit,0.13,0.84,0,0,0,0.25,0
Industrial Zone,21:43,No lighting,0.25,0.73,0,0,0,0.1,0
Suburban Street,03:36,Well-lit,0.15,0.18,1,0,0,0.6,1
Residential Area,22:51,No lighting,0.3,0.27,0,0,1,0.4,0
Park,22:12,Moderately-lit,0.35,0.69,0,0,0,0.17,0
Main Road,19:00,No lighting,0.46,0.37,0,1,1,0.29,0
Residential Area,01:53,Moderately-lit,0.6,0.28,1,1,1,0.42,1
University Campus,02:43,Poorly-lit,0.33,0.37,1,0,0,0.5,0
Park,00:46,Moderately-lit,0.07,0.61,0,1,1,0.19,0
Residential Area,19:33,Well-lit,0.28,0.08,1,0,1,0.41,1
Residential Area,20:17,Moderately-lit,0.16,0.1,1,0,0,0.46,1
Main Road,03:02,No lighting,0.11,0.29,0,1,0,0.21,0
Industrial Zone,18:56,No lighting,0.21,0.62,0,0,0,0.1,0
Suburban Street,22:46,Well-lit,0.08,0.38,1,0,0,0.59,1
Residential Area,04:58,Well-lit,0.34,0.14,1,0,0,0.5,1
Commercial District,23:06,Poorly-lit,0.07,0.37,1,1,0,0.74,0
Public Transport Hub,20:22,No lighting,0.71,0.6,0,1,1,0.83,0
Market Area,00:50,Poorly-lit,0.31,0.46,0,1,0,0.81,0
Public Transport Hub,23:29,Well-lit,0.07,0.39,1,0,1,0.72,1
Residential Area,22:19,Well-lit,0.09,0.34,0,0,0,0.46,1
Suburban Street,01:29,Moderately-lit,0.25,0.21,1,1,0,0.41,1
Public Transport Hub,03:50,Moderately-lit,0.17,0.56,1,1,1,0.73,1
Public Transport Hub,04:51,Moderately-lit,0.35,0.37,1,1,1,0.84,1
University Campus,21:41,Moderately-lit,0.36,0.19,1,0,1,0.52,1
Park,04:12,No lighting,0.16,0.46,0,0,0,0.27,0
Suburban Street,01:56,Well-lit,0.18,0.27,0,0,1,0.49,1
Residential Area,22:42,Moderately-lit,0.07,0.28,1,1,0,0.45,1
Main Road,23:51,Poorly-lit,0.43,0.52,0,1,1,0.27,0
Public Transport Hub,23:03,Poorly-lit,0.3,0.4,1,1,0,0.85,0
University Campus,04:30,Moderately-lit,0.41,0.35,1,0,1,0.4,1
Suburban Street,05:54,Well-lit,0.14,0.29,0,0,0,0.45,1
University Campus,02:48,Well-lit,0.09,0.34,1,0,1,0.55,0
Public Transport Hub,21:39,No lighting,0.13,0.54,0,0,1,0.78,0
Public Transport Hub,20:43,No lighting,0.04,0.57,0,1,0,0.73,0
Market Area,19:53,No lighting,0.37,0.35,0,0,1,0.89,0
Alleyway,03:43,Poorly-lit,0.59,0.75,0,0,0,0.19,0
Main Road,04:05,Poorly-lit,0.12,0.47,0,0,1,0.17,0
Main Road,22:16,No lighting,0.25,0.47,0,0,0,0.13,0
Park,00:53,No lighting,0.25,0.48,1,0,1,0.18,0
Commercial District,00:37,Poorly-lit,0.21,0.57,1,1,1,0.83,1
University Campus,18:34,Poorly-lit,0.4,0.37,1,1,0,0.58,0
Alleyway,18:48,Well-lit,0.54,0.83,0,0,0,0.23,0
Public Transport Hub,19:50,Poorly-lit,0.4,0.49,1,1,0,0.8,0
Market Area,19:52,Well-lit,0.55,0.26,0,0,1,0.86,1
Public Transport Hub,05:33,Poorly-lit,0.01,0.61,1,1,1,0.83,1
Main Road,22:33,No lighting,0.03,0.39,1,1,1,0.2,1
Public Transport Hub,00:46,Moderately-lit,0.13,0.62,0,1,1,0.72,0
Park,03:52,Moderately-lit,0.18,0.47,1,0,0,0.12,0
Residential Area,02:45,Poorly-lit,0.0,0.27,1,0,1,0.57,0
Public Transport Hub,05:50,No lighting,0.28,0.64,1,0,1,0.78,0
Main Road,02:37,No lighting,0.27,0.43,0,1,1,0.13,0
Market Area,20:59,No lighting,0.15,0.41,1,0,0,0.76,0
Industrial Zone,23:04,Well-lit,0.32,0.74,1,0,1,0.12,1
Park,01:53,Moderately-lit,0.15,0.59,1,0,1,0.11,0
Main Road,22:27,Moderately-lit,0.45,0.5,0,1,0,0.27,0
Alleyway,04:23,No lighting,0.29,0.69,1,0,0,0.14,0
Public Transport Hub,01:20,Moderately-lit,0.0,0.49,0,1,1,0.81,0
Suburban Street,21:15,No lighting,0.22,0.41,1,0,0,0.44,0
Alleyway,04:06,Moderately-lit,0.2,0.82,0,0,0,0.19,0
Alleyway,20:10,Poorly-lit,0.04,0.91,0,0,0,0.17,0
Public Transport Hub,03:35,Well-lit,0.15,0.4,1,1,1,0.78,1
Industrial Zone,21:10,Well-lit,0.25,0.58,1,0,0,0.16,1
Industrial Zone,01:19,Well-lit,0.19,0.64,0,0,0,0.11,0
Market Area,03:24,Moderately-lit,0.19,0.42,1,0,0,0.76,0
Residential Area,21:02,Poorly-lit,0.48,0.29,1,1,1,0.56,1
Park,00:05,Moderately-lit,0.04,0.62,1,0,0,0.15,0
Market Area,23:01,Moderately-lit,0.41,0.46,1,0,0,0.75,0
Park,21:50,No lighting,0.32,0.74,0,0,0,0.14,0
Park,01:01,Poorly-lit,0.67,0.69,0,1,1,0.21,0
Residential Area,19:09,Well-lit,0.62,0.17,1,0,0,0.41,1
Market Area,22:55,Moderately-lit,0.1,0.33,0,0,0,0.84,0
Alleyway,21:46,Poorly-lit,0.01,0.86,0,1,0,0.21,0
Industrial Zone,03:09,No lighting,0.02,0.81,1,1,0,0.29,0
Public Transport Hub,02:25,Moderately-lit,0.19,0.63,0,1,1,0.89,1
University Campus,01:58,Well-lit,0.2,0.29,0,1,0,0.6,1
Suburban Street,04:33,No lighting,0.27,0.23,1,1,1,0.56,1
University Campus,02:09,Poorly-lit,0.2,0.43,0,0,0,0.5,0
Commercial District,22:41,No lighting,0.02,0.56,0,1,1,0.76,0
Suburban Street,20:29,Moderately-lit,0.12,0.32,0,0,1,0.45,0
Suburban Street,05:06,No lighting,0.09,0.19,1,0,0,0.48,0
Suburban Street,00:41,Poorly-lit,0.08,0.29,0,0,0,0.4,0
Public Transport Hub,01:03,Moderately-lit,0.03,0.49,1,1,0,0.85,1
Park,05:51,Moderately-lit,0.03,0.55,1,0,0,0.22,0
University Campus,21:38,Well-lit,0.41,0.37,1,1,0,0.51,1
Alleyway,04:42,Well-lit,0.12,0.95,0,1,1,0.22,1
Park,23:25,Well-lit,0.45,0.58,0,0,0,0.18,0
Alleyway,20:41,No lighting,0.37,0.75,0,0,0,0.13,0
Public Transport Hub,00:49,Well-lit,0.23,0.61,1,0,1,0.88,1
Industrial Zone,21:42,Well-lit,0.27,0.55,0,0,0,0.19,0
Public Transport Hub,21:49,Moderately-lit,0.16,0.47,0,1,1,0.89,1
Commercial District,01:49,Poorly-lit,0.36,0.4,0,0,1,0.74,0
Park,22:43,Well-lit,0.13,0.67,0,0,0,0.12,0
Main Road,23:07,Moderately-lit,0.53,0.53,1,1,1,0.26,1
Alleyway,02:29,Moderately-lit,0.09,0.69,1,0,1,0.19,0
Alleyway,22:05,Moderately-lit,0.04,0.77,0,0,0,0.26,0
Public Transport Hub,04:41,Moderately-lit,0.21,0.47,0,1,1,0.86,1
University Campus,00:53,Poorly-lit,0.37,0.24,1,0,1,0.44,0
Alleyway,20:30,Poorly-lit,0.25,0.73,0,1,0,0.25,0
Alleyway,00:21,Poorly-lit,0.55,0.68,0,0,1,0.28,0
Public Transport Hub,21:09,No lighting,0.31,0.39,1,1,0,0.74,0
Suburban Street,18:39,Poorly-lit,0.15,0.16,1,0,0,0.41,0
Alleyway,02:06,No lighting,0.01,0.8,0,0,0,0.14,0
Park,23:09,Well-lit,0.14,0.61,1,1,0,0.12,1
Alleyway,00:21,No lighting,0.33,0.81,0,0,0,0.25,0
Market Area,21:46,Well-lit,0.42,0.43,0,1,0,0.75,1
Commercial District,19:21,Moderately-lit,0.43,0.56,1,1,0,0.71,1
Industrial Zone,18:14,No lighting,0.4,0.6,0,0,0,0.27,0
Park,23:27,No lighting,0.01,0.45,1,0,1,0.27,0
Public Transport Hub,22:45,Poorly-lit,0.22,0.5,0,1,0,0.78,0
Main Road,00:31,Well-lit,0.2,0.42,1,1,1,0.29,1
Alleyway,23:26,Moderately-lit,0.04,0.68,0,0,0,0.28,0
Residential Area,18:31,Poorly-lit,0.59,0.23,1,0,1,0.47,0
Alleyway,21:52,Well-lit,0.29,0.66,1,0,0,0.12,1
Public Transport Hub,00:40,No lighting,0.41,0.65,0,1,1,0.83,0
Park,00:21,Well-lit,0.22,0.7,1,0,0,0.29,1
Public Transport Hub,20:36,Poorly-lit,0.13,0.58,1,1,1,0.73,1
Suburban Street,00:46,Poorly-lit,0.24,0.38,0,0,0,0.43,0
Main Road,00:07,Moderately-lit,0.35,0.41,1,1,0,0.26,1
Suburban Street,22:42,Moderately-lit,0.05,0.21,0,1,0,0.56,0
Alleyway,20:09,Well-lit,0.14,0.68,0,0,0,0.11,0
Main Road,05:38,Moderately-lit,0.13,0.33,1,1,1,0.27,1
Industrial Zone,04:59,Poorly-lit,0.52,0.79,0,1,0,0.22,0
Industrial Zone,02:08,Moderately-lit,0.21,0.62,0,0,0,0.17,0
Market Area,20:15,Poorly-lit,0.03,0.27,0,1,1,0.83,0
Alleyway,21:19,Moderately-lit,0.33,0.91,0,1,0,0.3,1
University Campus,03:25,Moderately-lit,0.34,0.25,1,0,0,0.4,0
Public Transport Hub,22:11,No lighting,0.16,0.53,1,1,1,0.74,1
Alleyway,20:12,Well-lit,0.08,0.71,1,1,0,0.2,1
Public Transport Hub,02:16,Moderately-lit,0.27,0.5,1,1,1,0.87,1
Main Road,20:33,Poorly-lit,0.39,0.4,0,1,1,0.26,0
Public Transport Hub,00:07,Well-lit,0.23,0.42,1,1,1,0.87,1
Park,04:50,Moderately-lit,0.02,0.57,0,1,0,0.25,0
Market Area,01:35,No lighting,0.19,0.53,0,0,0,0.79,0
Commercial District,20:19,No lighting,0.31,0.49,0,0,0,0.89,0
University Campus,01:53,Moderately-lit,0.3,0.16,1,0,1,0.44,1
Public Transport Hub,18:06,Poorly-lit,0.23,0.41,0,0,0,0.78,0
Park,02:02,No lighting,0.06,0.69,1,0,0,0.14,0
Main Road,04:26,Moderately-lit,0.16,0.25,1,1,1,0.12,1
Public Transport Hub,03:01,Poorly-lit,0.16,0.53,0,1,1,0.77,0
University Campus,22:04,Well-lit,0.35,0.26,1,0,0,0.48,1
Main Road,02:58,Moderately-lit,0.2,0.32,1,1,1,0.18,1
Park,19:57,Well-lit,0.62,0.75,0,0,0,0.12,0
Alleyway,02:59,Moderately-lit,0.52,0.87,0,1,0,0.24,0
Main Road,00:12,Well-lit,0.31,0.53,1,1,1,0.23,1
Residential Area,18:31,No lighting,0.15,0.26,1,0,0,0.43,0
University Campus,21:53,No lighting,0.24,0.22,1,0,0,0.59,0
Commercial District,19:02,Well-lit,0.31,0.39,1,0,1,0.81,1
Residential Area,02:42,No lighting,0.22,0.27,1,0,0,0.6,0
Suburban Street,18:35,Moderately-lit,0.62,0.35,1,0,0,0.43,0
Park,03:16,Moderately-lit,0.12,0.52,0,0,0,0.29,0
Public Transport Hub,03:44,Poorly-lit,0.27,0.42,0,1,0,0.79,0
Commercial District,02:06,Poorly-lit,0.26,0.46,0,0,1,0.78,1
Public Transport Hub,00:03,Well-lit,0.59,0.44,0,1,0,0.84,1
Market Area,21:08,Poorly-lit,0.22,0.28,1,0,1,0.77,1
Market Area,03:01,No lighting,0.09,0.33,1,1,1,0.72,1
Market Area,21:11,Moderately-lit,0.01,0.38,1,1,0,0.72,1
